1,Jumanji: En la selva,"En la nueva aventura Jumanji: En la Selva, cuatro adolescentes que fueron castigados en la escuela son succionados al mundo de Jumanji. Cuando descubren una vieja consola con un videojuego del que nunca habían oído hablar, son transportados a la selva del juego en los cuerpos de sus avatares interpretados por Dwayne Johnson, Jack Black, Kevin Hart y Karen Gillan. Lo que descubren es que uno no juega al Jumanji, sino que Jumanji juega con uno. Tendrán que embarcarse en la aventura más peligrosa de sus vidas o quedarse atrapados para siempre en el juego.",1
2,Maze Runner: La cura mortal,"Thomas no puede confiar en CRUEL. La organización le borró sus recuerdos y lo encerró en el Laberinto. Luego lo dejó al borde de la muerte, en el Desierto. Y lo separaron de los Habitantes, sus únicos amigo. Ahora CRUEL asegura que el tiempo de las mentiras ha terminado. Con toda la información que reunió gracias a las Pruebas, está en condiciones de avanzar en la cura de la Llamarada. Pero Thomas debe pasar por la Prueba Final. ¿Logrará sobrevivir al procedimiento? ¿Será cierto que se terminaron las mentiras? Quizá la verdad sea más terrible aún... una solución letal, sin retorno.",2
